"part_number","quantity","total_price","project_number","steel_pct","aluminum_pct","tariff_no"
"OUTSIDER-177-L","3.00","7802.93","US25A0240","","0",""
"US25A0105-LPC15-e-t_FSC","2.00","1052.48","US25A0105","","","9401.79.0035"
"ELK110-002000","8.00","3454.76","US25A0226","0","100",""
"350.2.2","1690.00","2366.00","US25A0036","","",""
"LVS610-J02000","2.00","1137.51","US25A0205","61","",""
"SLU998","2.00","14.22","US25A0010","","",""
"OBAL160","1.00","89.56","US25A0243","","",""
"Celkem","3.890","3890.86","US25A0105","","",""
"SLU070","2.00","8.15","US25A0240","","",""
"ND502","16.00","120.14","US25A0230","","",""
"OBAL151","1.00","61.54","US25A0020","","0",""
"OBAL160","2.00","180.14","US25A0238","","0",""
"LPU151-502000","9.00","4925.80","US25A0145","54","0",""
"LPC150B-5029-US25A0216","1.00","4496.38","US25A0216","47","0","9401.79.0035"
"Celkem","22.730","22730.27","US25A0020","","",""
"Celkem","13.506","13506.90","US25M0023","","",""
"RTS-DH-01-000_01_FSC_oil","5.00","57.20","US25A0215","","",""
"ND501","6.00","61.48","US25A0148","100","0",""
"LPC150A-5029-US25A0216","2.00","2295.99","US25A0216","50","0","9401.79.0035"
"OBAL160","1.00","89.56","US25A0236","","",""
"LPC12B-ae-2129-US25A0197","1.00","808.91","US25A0197","44","0",""
"OBAL160","2.00","182.09","US25A0199","","",""
"LN525-002000","1.00","445.15","US25A0010","100","0",""
"SLU070","4.00","5.76","US25N0015","","",""
"VL145","7.00","4047.12","US25A0210","","",""
"LVS111-212000","3.00","816.71","US25A0201","37","0","9401.79.0035"
"PRX316t_FSC","2.00","1994.00","US25A0036","","",""
"QB515-2-072000","4.00","2533.10","US25A0199","41","51",""
"SI105-002000","6.00","1215.91","US25A0148","0","100",""
"Celkem","23.247","23247.02","US25A0230","","",""
"LPC122t_FSC","15.00","5425.20","US25A0105","","","9401.79.0035"
"NDZ04","32.00","58.74","US25A0226","100","0",""
"SL250","1.00","259.00","US25A0036","","",""
"LBQ1551-10t_FSC","5.00","6190.00","US25A0036","","",""
"Celkem","23.057","23057.27","US25A0240","","",""
"OMAHA-03-001_FSC","168.00","9072.00","US25A011","","",""
"RTS252","5.00","5227.20","US25A0215","","",""
"LAG1121t_FSC","16.00","6112.00","US25A0036","","",""
"PRX118-6C2000","1.00","644.02","US25A0155","83","0",""
"PQA151-J12000","6.00","3559.82","US25A0082","4","23",""
"OBAL160","2.00","182.28","US25A0224","","0",""
"Celkem","849.29","849.29","US25A0243","","",""
"LPC89","4.00","359.04","US25A0105","","",""
"OUTSIDER-177-I","1.00","2600.98","US25A0240","","0",""
"OBAL160","2.00","179.11","US25A0229","","",""
"PRX315-6C2000","15.00","14470.20","US25A0155","80","0",""
"CUB1001-M029-US25A0020","1.00","5333.66","US25A0020","53","6",""
"PQX-R1521-202000","1.00","518.74","US25A0020","39","20",""
"OBAL151","1.00","60.31","US25A0149","","0",""
"LPC13t_FSC","2.00","2286.24","US25A0105","","","9401.79.0035"
"LLP255","4.00","3172.00","US25A0036","","",""
"LPC60-002000","4.00","171.06","US25A0197","100","0",""
"ND501","16.00","166.58","US25A0082","100","0",""
"MAG625-002008","8.00","6207.12","US25A0236","63","35",""
"PQA156-02t_FSC (pint)","3.00","2103.00","US25A0036","","",""
"SL506-C5","14.00","1722.00","US25A0036","","",""
"PQX351-CUB-202000","1.00","489.32","US25A0020","13","16",""
"OBAL160","3.00","273.42","US25A0196","","0",""
"Celkem","1.096","1096.92","US25A0231","","",""
"Celkem","4.050","4050.42","US25A0227","","",""
"Celkem","591.32","591.32","US25N0015","","",""
"OBAL162","1.00","106.70","US25A0147","","0",""
"ND511","2.00","19.77","US25A0234","100","0",""
"ND508","7.00","72.59","US25A0216","100","0","7318.15.2095"
"OBAL160","5.00","447.78","US25A0082","","",""
"ND501","17.00","176.99","US25A0203","100","0",""
"PRX345-002000","6.00","4605.64","US25A0120","99","0",""
"OBAL160","3.00","270.21","US25A0230","","",""
"ND601","2.00","24.09","US25A0149","100","0",""
"OBAL160","4.00","359.78","US25A0020","","0",""
"LPC-DH-01-001_03_FSC","1.00","5.10","US25A011","","",""
"EM151-202000","12.00","5784.30","US25A0237","24","17","9401.79.0035"
"Celkem","1.890","1890.18","US25A0156","","",""
"ND508","3.00","30.86","US25A0075","","",""
"OBAL161","5.00","639.96","US25A0230","","",""
"LPC70","2.00","309.76","US25A0105","","",""
"NDZ04","74.00","136.15","US25A0241","100","0","7318.15.2095"
"NDZ04","132.00","275.33","US25A0240","100","0","7318.15.5056"
"SL505","3.00","316.80","US25A0105","","",""
"OUTSIDER-177-O","3.00","7802.93","US25A0240","","0",""
"QB110-2-502000","7.00","3878.85","US25A0202","35","0",""
"ND501","22.00","230.36","US25A0205","100","0","7318.15.2095"
"ND514","10.00","74.67","US25A0230","","",""
"CP110-002000","2.00","721.85","US25A0108","","",""
"OBAL160","1.00","91.14","US25A0202","","0",""
"RTS1501t_FSC","4.00","4024.00","US25A0036","","",""
"NDZ04","12.00","21.90","US25A0229","100","0",""
"VT110-002100","1.00","186.07","US25A0243","100","0",""
"LWD112t_FSC (oil)","2.00","1177.44","US25A0218","","","9401.79.0035"
"NDZ01","12.00","36.98","US25A0219","","",""
"Celkem","634.09","634.09","US25A0240","","",""
"SLU005","1.00","1712.78","US25A0240","","",""
"OBAL160","4.00","364.56","US25A0219","","0",""
"SLU900","0.06","423.21","US25A0236","","",""
"OBAL160","1.00","90.07","US25A0234","","",""
"RTW281-002000R","18.00","35364.12","US25A0241","100","0",""
"ND502","2.00","15.02","US25A0108","100","0","7318.15.2095"
"OBAL162","1.00","108.88","US25A0020","","0",""
"ND507","3.00","25.38","US25A0229","100","0",""
"Celkem","5.636","5636.90","US25A0219","","",""
"LPC110A-2029-US25A0075","2.00","1662.36","US25A0075","","",""
"MUM556-072000","3.00","3534.51","US25A0105","53","47",""
"ND502","7.00","53.19","US25A0202","100","0","7318.15.2095"
"OMAHA-01-002_FSC","144.00","11088.00","US25A011","","",""
"LPC69-002000","3.00","263.18","US25A0197","100","0",""
"OBAL161","4.00","501.04","US25A0134","","0",""
"ND502","6.00","44.09","US25A0120","","0",""
"Celkem","1.077","1077.66","US25A0010","","",""
"OBAL160","3.00","270.21","US25A0205","","0",""
"OUTSIDER-203","2.00","3420.61","US25A0227","","0","9403.70.8031"
"CUB1201-M029-US25A0020","2.00","11026.00","US25A0020","54","6",""
"ND501","1.00","10.47","US25A0234","100","0",""
"VLA1521-J02000","2.00","1057.42","US25A0234","0","47",""
"LPC61-002000","4.00","344.27","US25A0197","100","0",""
"LPC72","2.00","309.76","US25A0105","","",""
"LAG112-J02000","2.00","764.97","US25A0219","","",""
"LRA441-002000","11.00","7149.45","US25A0241","100","0",""
"RVA171-642000","4.00","2735.70","US25A0224","48","0",""
"NDZ01","46.00","140.42","US25A0241","100","0","7318.15.2095"
"LAG9101t_FSC","4.00","1636.00","US25A0036","","",""
"STE110-006000","2.00","430.06","US25A0149","93","0",""
"BBQ110-202000","4.00","871.87","US25A0230","79","0",""
"350.2.9","200.00","280.00","US25A0036","","",""
"LPC84","2.00","285.12","US25A0105","","",""
"SI155-002000","6.00","2525.51","US25A0148","53","47",""
"SLU998","8.00","68.63","US25A0203","","",""
"ND512","9.00","96.86","US25A0230","","",""
"OBAL160","1.00","91.04","US25A0105","","0",""
"OBAL160","1.00","90.02","US25A0231","","",""
"LVS311-J02000","6.00","2678.42","US25A0205","58","",""
"Celkem","1.935","1935.49","US25A0166","","",""
"US25A0105-LPC11-e-t_FSC","2.00","1723.04","US25A0105","","","9401.79.0035"
"LPC12A-ae-2129-US25A0197","1.00","1239.33","US25A0197","39","0",""
"ND501","3.00","31.75","US25A0201","100","0","7318.15.2095"
"LPC81","2.00","179.52","US25A0105","","",""
"ND502","4.00","30.04","US25A0226","100","0",""
"ND510","6.00","32.85","US25A0082","100","0",""
"LPC-DH-PD-000_FSC","1.00","15.70","US25A011","","",""
"LOB240","2.00","2430.00","US25A0036","","",""
"LPC12-ae-212000","2.00","2790.40","US25A0197","38","0",""
"PRX345-atp-plano","2.00","1830.00","US25A0036","","",""
"OBAL155","1.00","75.74","US25A0156","","0",""
"ND501","7.00","74.17","US25A0219","","",""
"OBAL160","1.00","91.14","US25N0015","","0",""
"Celkem","1.351","1351.23","US25A0108","","",""
"ND512","10.00","107.57","US25A0231","","","7318.15.2095"
"CUT441C-002000","2.00","1061.55","US25A0020","73","0",""
"NDZ04","32.00","59.43","US25A0224","100","0","7318.15.5056"
"US25A0105-LPC13-ae-t_FSC","4.00","5505.28","US25A0105","","","9401.79.0035"
"KR120-002000","3.00","1858.43","US25A0229","100","0",""
"RVA171-10-642000","4.00","2990.32","US25A0224","53","0",""
"RVA351-10t-u_FSC (oil)","2.00","2085.60","US25A0215","","","9401.79.0035"
"Celkem","7.143","7143.10","US25A0236","","",""
"QB515-072000","16.00","6387.71","US25A0230","41","51",""
"BTT307-002003","4.00","3699.85","US25A0203","9","2",""
"ELK110-002000","60.00","24431.26","US25A0196","0","100",""
"LLP235","2.00","698.00","US25A0036","","",""
"ND502","10.00","74.66","US25A0221","100","0",""
"RTS1571t_FSC","5.00","5265.00","US25A0036","","",""
"STE411-0029-US25A0231","10.00","835.14","US25A0231","93","0",""
"OBAL160","1.00","90.07","US25A0108","","0",""
"SLU004","1.00","474.05","US25A0108","","",""
"OBAL160","5.00","447.78","US25A0203","","",""
"LAG350-J02000","1.00","2166.84","US25A0219","","",""
"LBQ1111-202000","7.00","4932.67","US25A0230","","",""
"Celkem","4.291","4291.28","US25A0202","","",""
"Celkem","11.967","11967.44","US25A0082","","",""
"LPU151-J02000","3.00","1646.70","US25A0238","54","0","9401.79.0035"
"OBAL708","1.00","142.02","US25A0020","","0",""
"OUTSIDER-173","1.00","1432.21","US25A0240","","",""
"ND043","6.00","430.88","US25A0148","100","0",""
"Celkem","10.379","10379.67","US25A0197","","",""
"OBAL160","2.00","179.11","US25A0221","","",""
"RTS152t_FSC (oil)","5.00","3863.20","US25A0215","","","9401.79.0035"
"RVA251n-10-u","2.00","2661.12","US25A0215","","","9403.20.0050"
"ND512","3.00","32.64","US25A0199","","","7318.15.2095"
"PRX-B315-207000","4.00","4039.28","US25A0226","81","0",""
"OUTSIDER-203","1.00","1705.44","US25A0240","","0",""
"OBAL160","1.00","90.07","US25A0010","","0",""
"ND502","1.00","7.47","US25A0243","100","0",""
"Celkem","26.976","26976.42","US25A0196","","",""
"Celkem","8.279","8279.97","US25A0226","","",""
"NDZ04","16.00","29.33","US25A0166","100","0",""
"ELK110-002000","3.00","1288.14","US25A0229","0","100",""
"OBAL160","1.00","88.15","US25A0148","","0",""
"OBAL161","1.00","125.26","US25A0120","","0",""
"Celkem","1.978","1978.14","US25A0238","","",""
"Celkem","46.451","46451.43","US25A0241","","",""
"OBAL151","1.00","61.54","US25A0166","","0",""
"Celkem","7.589","7589.61","US25A0216","","",""
"Celkem","997.34","997.34","US25A0201","","",""
"SLU004","2.00","948.09","US25A0230","","",""
"PRX345-0029-US23A0057","5.00","3706.69","US25A0221","99","0",""
"ND502","3.00","22.77","US25A0105","100","0","7318.15.2095"
"ND512","1.00","10.75","US25A0020","100","0",""
"SLU998","16.00","113.12","US25A0082","","",""
"OBAL160","2.00","180.14","US25A0226","","0",""
"ELK110-002000","4.00","1725.01","US25A0166","0","100",""
"Celkem","9.648","9648.85","US25A0203","","",""
"OBAL160","5.00","440.73","US25A0145","","0",""
"PIX91-002000","1.00","140.97","US25A0020","100","0",""
"CP111","11.00","4840.00","US25A0036","","",""
"PRX115-642000","1.00","507.28","US25A0243","84","0",""
"OBAL160","1.00","91.04","US25A0201","","0",""
"ND505","3.00","58.86","US25A0197","100","0",""
"DON150-072000","11.00","1694.81","US25A0156","98","2",""
"ND501","1.00","10.41","US25A0243","100","0",""
"NDZ01","28.00","83.45","US25A0134","100","0",""
"ND502","16.00","119.98","US25A0155","100","0",""
"OBAL161","5.00","641.48","US25A0241","","",""
"SLU005","1.00","629.81","US25A0227","","",""
"ND501","5.00","52.28","US25A0020","100","0",""
"PQA111t_FSC (pint)","2.00","802.00","US25A0036","","",""
"NDZ01","36.00","107.29","US25A0145","100","0",""
"OBAL160","1.00","89.56","US25A0075","","",""
"ND501","2.00","20.94","US25A0010","100","0","7318.15.2095"
"LBQ9621-202000","3.00","6435.37","US25A0230","","",""
"Celkem","6.207","6207.54","US25A0237","","",""
"OBAL161","2.00","256.59","US25A0216","","",""
"PRX315t_FSC","2.00","1968.00","US25A0036","","",""
"ND502","4.00","30.36","US25A0199","100","0","7318.15.2095"
"Celkem","538.13","538.13","US25A0240","","",""
"RVA150-10-J02000","5.00","2891.49","US25A0147","48","0",""
"PRX315t_FSC","1.00","984.00","US25A0036","","",""
"SLU070","3.00","12.23","US25A0240","","",""
"BBQ110-202000","5.00","1089.83","US25A0230","79","0",""
"350.2.8","200.00","280.00","US25A0036","","",""
"RTS251","5.00","7972.80","US25A0215","","",""
"Celkem","16.564","16564.90","US25A0155","","",""
"OMAHA-04-000_FSC","15.00","900.00","US25A011","","",""
"NDZ04","244.00","453.19","US25A0196","100","0","7318.15.5056"
"PQA151-212000","4.00","2373.21","US25A0197","4","23",""
"LWD200t_FSC (oil)","1.00","2671.68","US25A0218","","","9401.79.0035"
"LAG910-J02000","1.00","392.51","US25A0234","64","",""
"Celkem","3.590","3590.72","US25A0229","","",""
"Celkem","6.425","6425.68","US25A0224","","",""
"LOB241-002000","7.00","7399.14","US25A0134","72","28",""
"NDZ01","12.00","36.54","US25A0238","100","0","7318.15.2095"
"Celkem","8.177","8177.70","US25A0221","","",""
"NNK366-002000","8.00","3459.61","US25A0082","100","0",""
"Celkem","4.557","4557.42","US25A0199","","",""
"LPC12-212000","1.00","1248.74","US25A0197","38","0",""
"EM156-J02000","3.00","1892.84","US25A0219","","",""
"RTS-DH-01-000_02_FSC_oil","4.00","49.28","US25A0215","","",""
"LPC80","6.00","264.00","US25A0105","","",""
"OBAL160","5.00","447.78","US25A0197","","",""
"OBAL161","2.00","255.63","US25A0155","","0",""
"SL505-002000","9.00","972.83","US25A0203","100","0",""
"PQX351-CUB-202000","4.00","1957.30","US25A0020","13","16",""
"LVS6501-202000","3.00","1499.95","US25A0199","58","0","9401.79.0035"
